NAME	DESCRIPTION	Fabp_1	Fabp_2	Fabp_3	Fabp_4	KrasG12D_1	KrasG12D_2	KrasG12D_3	KrasG12D_4
ENSMUSG00000054892	NA	0	18.56566375	24.05231978	0	0	0	0	0
ENSMUSG00000054893	NA	100.4382885	154.6530074	115.1374015	53.52296301	57.46422113	106.1796564	27.04424146	64.04111188
ENSMUSG00000054894	NA	53.64740496	0	65.71539045	74.987015	27.91332665	77.71908788	61.47417154	78.98342684
ENSMUSG00000054905	NA	0	0	0	0.906563743	1.071586748	0	0	0
ENSMUSG00000054920	NA	3.706570635	0	0	0	0	0	7.711075219	3.658973549
ENSMUSG00000054931	NA	4.702087012	5.26498898	0	3.622506741	7.49322258	2.797136637	0	4.60325356
ENSMUSG00000054932	NA	2.766841388	5.211385216	0	2.697714418	3.211721425	4.74527256	2.610971444	1.820687169
ENSMUSG00000054934	NA	4.287436395	1.131121064	1.441911308	1.751143945	4.378166783	1.183607608	0.704851112	6.439140098
ENSMUSG00000054938	NA	0	0.880148804	0	0	1.065715437	0	0	0.92308949
ENSMUSG00000054939	NA	24.6433511	17.66683209	17.01388535	25.31088546	12.83672148	13.17044108	38.81428775	15.79454655
ENSMUSG00000054942	NA	214.9916944	154.2088345	163.6752235	93.55342019	131.8584074	143.9776222	76.63603304	163.681756
ENSMUSG00000054945	NA	23.062227	13.91516898	10.17542008	8.186725285	12.9201956	7.661862685	6.628895221	10.14180773
ENSMUSG00000054957	NA	0	0	0	0	0	0	1.266633267	0
ENSMUSG00000054958	NA	13.70778446	11.40533985	27.67010144	55.66490069	322.796996	266.9783929	519.0934937	402.1085671
ENSMUSG00000054966	NA	0	0	0	0.906563743	0	0	0	0
ENSMUSG00000054967	NA	0	0	2.310036192	0	3.19988899	0	0	0
ENSMUSG00000054976	NA	0	0.617484696	0	1.293081492	0	0	0	0
ENSMUSG00000054978	NA	20.17129695	23.88425409	13.8896251	20.88369713	18.25250425	25.80993096	16.99423751	23.30304843
ENSMUSG00000054986	NA	2.401066854	0	0	0	0	0	0.494550814	0
ENSMUSG00000054988	NA	0	1.015073528	0	0	0	0.809704306	0	0
ENSMUSG00000054999	NA	1607.457185	410.741083	1071.052007	319.9188834	97.67008167	79.52074696	66.75421398	118.3131554
ENSMUSG00000055003	NA	0	0.719932054	0.919510453	0.734610633	1.716945301	10.89297817	0.961818671	1.463239027
ENSMUSG00000055013	NA	642.1669371	464.0992891	560.7088678	639.6491338	846.5296475	597.3678168	913.0197167	620.7191343
ENSMUSG00000055022	NA	8.15672119	4.507414246	7.513107449	6.425994382	1.220738577	1.775527811	10.6682528	2.578715036
ENSMUSG00000055024	NA	1225.734528	958.3453846	1110.154584	1243.6968	1905.184541	1984.897283	2350.204905	2125.500292
ENSMUSG00000055026	NA	0	0	0	3.11812807	0	1.356577482	0	0
ENSMUSG00000055027	NA	10.0779419	5.244815267	1.909625043	2.280926049	1.499718037	1.555258732	0	0
ENSMUSG00000055041	NA	256.4065107	314.6736305	277.1845877	285.2697722	201.6147657	232.1697164	238.2795535	261.7549434
ENSMUSG00000055044	NA	4512.59211	4258.029922	4164.90161	4647.807222	5249.351982	5062.179852	5686.026738	5030.26454
ENSMUSG00000055053	NA	309.3991522	109.3595731	373.2007949	349.5549997	261.4559459	178.0481234	195.8194174	177.5060379
ENSMUSG00000055065	NA	679.3158137	307.1240935	991.7090119	422.7900774	230.8380013	290.8033167	722.1408037	422.470995
ENSMUSG00000055067	NA	111.5638198	93.07220698	59.48878504	103.4522252	66.58370437	78.9130734	73.9387227	124.268859
ENSMUSG00000055069	NA	0.913025967	0.879675005	2.285971286	5.389622295	6.429950538	0	1.315506339	0.921779899
ENSMUSG00000055072	NA	0.897685945	0.907057021	0	0	0	0	0	0.930291601
ENSMUSG00000055093	NA	3171.51143	2880.059771	2416.616985	2726.037174	3177.254707	2784.639771	2445.868839	3218.249189
ENSMUSG00000055095	NA	0	0	0	0.890550797	1.070098051	0	2.582404656	0
ENSMUSG00000055102	NA	0	0	0	0.906563743	0	0	0	0
ENSMUSG00000055108	NA	0	0	0	0	2.112594774	0	1.297482457	0.908553714
ENSMUSG00000055116	NA	422.2064005	114.457095	93.11275805	395.0454938	357.7262746	90.45130468	447.2086605	302.9229307
ENSMUSG00000055128	NA	409.4855344	448.7973277	400.91066	339.7916606	338.8796759	314.0884801	454.3932948	368.0517583
ENSMUSG00000055137	NA	8.256591069	15.04427846	7.936294992	2.695711201	13.89624313	19.77007938	22.33783164	10.97219217
ENSMUSG00000055148	NA	41.85955809	49.86401097	61.20696763	62.55644493	98.09788813	107.2252681	217.814959	125.8318642
